Time Difference (s),Nodes,State,Backfilled
3297,96,COMPLETED,yes
571,192,COMPLETED,yes
5333,5,COMPLETED,yes
559,1,FAILED,yes
-28,1,TIMEOUT,yes
3481,2,CANCELLED by 16819,yes
3600,0,CANCELLED by 17580,no
3181,1,FAILED,yes
-5,192,TIMEOUT,yes
5908,1,CANCELLED by 16819,yes
307,1,COMPLETED,yes
3217,1,FAILED,yes
6166,1,CANCELLED by 16819,yes
739,30,FAILED,yes
5379,3,NODE_FAIL,yes
2154,1,FAILED,yes
-28,3,TIMEOUT,yes
-28,3,TIMEOUT,yes
-28,3,TIMEOUT,yes
8023,96,NODE_FAIL,yes
1584,1,FAILED,yes
1584,1,FAILED,yes
914,2,CANCELLED by 16819,yes
214,1,FAILED,yes
3080,1,FAILED,yes
8698,96,CANCELLED by 0,yes
3490,1,COMPLETED,yes
881,4,FAILED,yes
860,8,FAILED,yes
3117,96,COMPLETED,yes
877,8,FAILED,yes
1194,2,COMPLETED,yes
8585,2304,COMPLETED,yes
1162,2,COMPLETED,yes
707,1,COMPLETED,yes
802,1,COMPLETED,yes
712,16,COMPLETED,yes
2507,1,COMPLETED,yes
2365,4,COMPLETED,yes
1579,16,COMPLETED,yes
2499,1,COMPLETED,yes
2352,4,COMPLETED,yes
1699,16,COMPLETED,yes
699,1,COMPLETED,yes
676,1,COMPLETED,yes
713,1,COMPLETED,yes
614,1,COMPLETED,yes
-9,1,TIMEOUT,yes
602,1,COMPLETED,yes
598,1,COMPLETED,yes
889,4,FAILED,yes
6923,5,FAILED,yes
4125,2,CANCELLED by 16819,yes
402,30,FAILED,yes
7164,18,COMPLETED,yes
7139,18,COMPLETED,yes
7019,18,COMPLETED,yes
-16,3,TIMEOUT,yes
240,2,COMPLETED,yes
13718,300,CANCELLED by 16819,yes
3233,96,COMPLETED,yes
7095,2,COMPLETED,yes
7111,4,COMPLETED,yes
7124,8,COMPLETED,yes
7123,16,COMPLETED,yes
7124,32,COMPLETED,yes
7151,64,COMPLETED,yes
7147,128,COMPLETED,yes
4555,1,COMPLETED,yes
5072,1,COMPLETED,yes
5580,3,COMPLETED,yes
434,30,FAILED,yes
7183,18,CANCELLED by 18632,yes
7175,18,COMPLETED,yes
7152,18,COMPLETED,yes
7200,0,CANCELLED by 16819,no
93,1,COMPLETED,yes
95,1,COMPLETED,yes
84,1,COMPLETED,yes
5557,2,COMPLETED,yes
5560,2,COMPLETED,yes
463,8,COMPLETED,yes
523,8,COMPLETED,yes
-1,3,TIMEOUT,yes
4472,2,COMPLETED,yes
3205,96,COMPLETED,yes
13845,200,CANCELLED by 16819,yes
500,200,COMPLETED,yes
-21,200,TIMEOUT,yes
12417,200,FAILED,yes
496,200,COMPLETED,yes
-15,200,TIMEOUT,yes
255,200,COMPLETED,yes
391,200,COMPLETED,yes
1053,300,COMPLETED,yes
753,300,COMPLETED,yes
1092,300,COMPLETED,yes
1223,300,COMPLETED,yes
6236,2,COMPLETED,yes
195,2,COMPLETED,yes
471,8,COMPLETED,yes
276,10,COMPLETED,yes
541,30,FAILED,yes
2917,1,COMPLETED,yes
486,8,COMPLETED,yes
-30,3,TIMEOUT,yes
533,1,COMPLETED,yes
3091,96,COMPLETED,yes
-27,1,TIMEOUT,yes
-5,256,TIMEOUT,yes
-1,384,TIMEOUT,yes
-11,768,TIMEOUT,yes
8510,2304,COMPLETED,yes
2345,1,FAILED,yes
290,30,FAILED,yes
2924,96,COMPLETED,yes
-16,1,TIMEOUT,yes
-22,1,TIMEOUT,yes
-22,3,TIMEOUT,yes
291,1,COMPLETED,yes
8343,2304,COMPLETED,yes
1792,1,COMPLETED,yes
980,1,COMPLETED,yes
6915,1,COMPLETED,yes
1800,0,CANCELLED by 63015,no
1006,32,FAILED,yes
6957,1,COMPLETED,yes
1472,1,FAILED,yes
